street,number,zip,city,lat,lng
Graaf Wichman,59,1276KA,Huizen,52.29856362739184,5.243287484615544
Zuidwesterringweg,25TR,8309PG,Tollebeek,52.67398681742194,5.686008984775234
Anky van Grunsvenpad,9,3118JL,Schiedam,51.91951261499947,4.374497771515783
Handelsweg,6,4879AJ,Etten-Leur,51.565180184434,4.625251042638108
Beethovenstraat,49,6137PV,Sittard,50.99754083175716,5.883613011385856
Eduard Schilderinkstraat,344,7002JS,Doetinchem,51.97163892537242,6.314074055258248
Welenmosweg,1B,7548RT,Enschede,52.19093556074992,6.784008750395394
Karel Doormanstraat,106,6374VJ,Landgraaf,50.91076460027904,6.050943594662552
Klinkenbergstraat,1,2136AA,Zwaanshoek,52.311349665138216,4.616204584487364
Rillandstraat,9,5035BL,Tilburg,51.58933642599996,4.977819643475884
Eikenhoek,52,5473GZ,Heeswijk-Dinther,51.649316290555895,5.49340972282175
Valkenhof,35,4921WD,Made,51.66984053652949,4.789748165646562
Westerduinweg,24ah49,1753BA,Sint Maartensvlotbrug,52.79235345252638,4.690770795279001
A ge Veld,10,6281AJ,Mechelen,50.79743595037494,5.928622710682856
Beekbergenstraat,30,2573ND,'s-Gravenhage,52.06855537790478,4.281699877486684
D'Hondecoeterstraat,2G05,,Eindhoven,51.42528200048078,5.512269871043418
Cambridgelaan,1915,3584DW,Utrecht,52.082981778037045,5.17412380590564
Vlindermeent,101,1218CX,Hilversum,52.26933071145827,5.137124426360198
Horstra's Hof,4,7782RJ,De Krim,52.650437753524855,6.612704694786816
Wilgenhove,18,2295RA,Kwintsheul,52.01419484674075,4.258176613147969
Rijsenburgstraat,6,2546ER,'s-Gravenhage,52.05825916971673,4.2689815593801
Pr Hendrikstraat,23a,4631KA,Hoogerheide,51.42525015537256,4.328527699611505
Lamsoor,9,4341RW,Arnemuiden,51.51598584399673,3.710009796600539
Rieteweg,72,8041AK,Zwolle,52.51876565417528,6.067454188461149
Veldweg,22407,9449PW,Nooitgedacht,52.96604128335492,6.671325432127274
Dempseystraat,238,6135CM,Sittard,51.00638055496135,5.852420663170688
Kievitstraat,1,4131CX,Vianen,51.99076611545577,5.103989345732114
Mereveldlaan,40,3454CH,De Meern,52.07663623648824,5.035691014936708
Groenland,48,2548WC,'s-Gravenhage,52.02464807772186,4.296999886756083
Menenkamp,16A,3085GG,Rotterdam,51.87452008685812,4.491192529512958
Romkeslaan,49,8933AR,Leeuwarden,53.198381800415056,5.799627669294022
Knuppelweg,65,3823GH,Amersfoort,52.18746499963433,5.397986379250547
Heugterbroekdijk,8,6003RB,Weert,51.275269945772,5.703301379227956
Spierenburgstraat,21,4463ED,Goes,51.51839788487513,3.884934287280053
Aviolandaplein,10,3351ND,Papendrecht,51.82262062217308,4.679105447367173
Lahemaalaan,29,1362JT,Almere,52.34611337821756,5.158484126190493
E. van Weemselstraat,3,7651AJ,Tubbergen,52.40414531473401,6.783685329393013
